quarter,hpi,time
Q1.2010-11,88.820870487804,2010.0
Q2.2010-11,98.671878461075,2010.25
Q3.2010-11,104.745752022526,2010.5
Q4.2010-11,107.761499028596,2010.75
Q1.2011-12,118.001952060347,2011.0
Q2.2011-12,123.083055537411,2011.25
Q3.2011-12,131.944909264532,2011.5
Q4.2011-12,129.440576860925,2011.75
Q1.2012-13,136.352393638224,2012.0
Q2.2012-13,156.595482252564,2012.25
Q3.2012-13,169.250034444999,2012.5
Q4.2012-13,166.174440116093,2012.75
Q1.2013-14,173.924629478224,2013.0
Q2.2013-14,186.6658464202,2013.25
Q3.2013-14,203.552536647662,2013.5
Q4.2013-14,212.483680065407,2013.75
Q1.2014-15,223.3,2014.0
Q2.2014-15,238.7,2014.25
Q3.2014-15,243.367690359235,2014.5
Q4.2014-15,267.314918621747,2014.75
Q1.2015-16,259.774701224432,2015.0
Q2.2015-16,264.707425864433,2015.25
Q3.2015-16,282.452659843016,2015.5
Q4.2015-16,288.898150726562,2015.75
Q1.2016-17,302.564732546998,2016.0
Q2.2016-17,311.560913140895,2016.25
Q3.2016-17,337.070385591639,2016.5
Q4.2016-17,335.786994309803,2016.75
Q1.2017-18,341.259222941454,2017.0
Q2.2017-18,344.369999342049,2017.25
Q3.2017-18,354.046816410602,2017.5
Q4.2017-18,362.227471882055,2017.75
Q1.2018-19,360.585044656723,2018.0
Q2.2018-19,369.991697146934,2018.25
Q3.2018-19,386.280063344108,2018.5
Q4.2018-19,370.349768942178,2018.75
Q1.2019-20,370.688474396463,2019.0
Q2.2019-20,371.850731430303,2019.25
Q3.2019-20,392.0,2019.5
Q4.2019-20,395.5,2019.75
Q1.2020-21,396.236967037404,2020.0
Q2.2020-21,397.49541862903,2020.25
Q3.2020-21,398.1,2020.5
Q4.2020-21,398.4,2020.75
Q1.2021-22,394.9,2021.0
Q2.2021-22,395.540488027138,2021.25
Q3.2021-22,397.2,2021.5
Q4.2021-22,396.825664481841,2021.75
Q1.2022-23,397.982641597108,2022.0
Q2.2022-23,411.364271036338,2022.25
Q3.2022-23,400.945874608861,2022.5
Q4.2022-23,414.846889084127,2022.75
Q1.2023-24,415.821492170871,2023.0
Q2.2023-24,425.77505647836,2023.25
Q3.2023-24,413.343033985552,2023.5
Q4.2023-24,416.888557539304,2023.75
Q1.2024-25,418.76356922846,2024.0
Q2.2024-25,418.992287607405,2024.25
Q3.2024-25,420.935047347707,2024.5
Q4.2024-25,417.802765153853,2024.75
